school_name,address,postal_code,full_address,latitude,longitude,dgp_code,zone_code
ADMIRALTY SECONDARY SCHOOL,31   WOODLANDS CRESCENT,737916,31   WOODLANDS CRESCENT 737916,1.4462673,103.8026082,WOODLANDS,NORTH
AHMAD IBRAHIM SECONDARY SCHOOL,751  YISHUN AVENUE 7,768928,751  YISHUN AVENUE 7 768928,1.4364306,103.8299804,YISHUN,NORTH
ANDERSON SECONDARY SCHOOL,10   ANG MO KIO STREET 53,569206,10   ANG MO KIO STREET 53 569206,1.3754151,103.8516979,ANG MO KIO,NORTH
ANG MO KIO SECONDARY SCHOOL,6    ANG MO KIO STREET 22,569362,6    ANG MO KIO STREET 22 569362,1.3678468,103.8430018,ANG MO KIO,SOUTH
BARTLEY SECONDARY SCHOOL,10   JALAN BUNGA RAMPAI,538403,10   JALAN BUNGA RAMPAI 538403,1.3402885,103.8828397,TOA PAYOH,SOUTH
BEATTY SECONDARY SCHOOL,1    TOA PAYOH NORTH,318990,1    TOA PAYOH NORTH 318990,1.34154,103.851956,TOA PAYOH,SOUTH
BEDOK GREEN SECONDARY SCHOOL,360  BEDOK NORTH AVE 3,469722,360  BEDOK NORTH AVE 3 469722,1.3341416,103.935336,BEDOK,EAST
BEDOK SOUTH SECONDARY SCHOOL,1    JALAN LANGGAR BEDOK,468585,1    JALAN LANGGAR BEDOK 468585,1.3248026,103.9509818,BEDOK,EAST
BEDOK VIEW SECONDARY SCHOOL,6    BEDOK SOUTH AVENUE 3,469293,6    BEDOK SOUTH AVENUE 3 469293,1.3246274,103.9438629,BEDOK,EAST
BENDEMEER SECONDARY SCHOOL,1    ST WILFRED ROAD,327919,1    ST WILFRED ROAD 327919,1.3244003,103.8603946,KALLANG,SOUTH
BOON LAY SECONDARY SCHOOL,11   JURONG WEST STREET 65,648354,11   JURONG WEST STREET 65 648354,1.3421935,103.7019449,JURONG WEST,WEST
BOWEN SECONDARY SCHOOL,2    LORONG NAPIRI,547529,2    LORONG NAPIRI 547529,1.370117,103.877649,HOUGANG,NORTH
BROADRICK SECONDARY SCHOOL,61   DAKOTA CRESCENT,399935,61   DAKOTA CRESCENT 399935,1.307525,103.8866552,GEYLANG,EAST
BUKIT BATOK SECONDARY SCHOOL,50   BUKIT BATOK WEST AVE 8,658962,50   BUKIT BATOK WEST AVE 8 658962,1.348506,103.740867,BUKIT BATOK,WEST
BUKIT MERAH SECONDARY SCHOOL,10   LENGKOK BAHRU,159050,10   LENGKOK BAHRU 159050,1.2856371,103.8134545,BUKIT MERAH,SOUTH
BUKIT VIEW SECONDARY SCHOOL,16   BUKIT BATOK STREET 21,659633,16   BUKIT BATOK STREET 21 659633,1.345925,103.7521004,BUKIT BATOK,WEST
CANBERRA SECONDARY SCHOOL,51   SEMBAWANG DRIVE,757699,51   SEMBAWANG DRIVE 757699,1.4536086,103.8144714,SEMBAWANG,NORTH
CEDAR GIRLS' SECONDARY SCHOOL,1    CEDAR AVENUE,349692,1    CEDAR AVENUE 349692,1.333751,103.874242,TOA PAYOH,EAST
CHANGKAT CHANGI SECONDARY SCHOOL,23   SIMEI ST 3,529894,23   SIMEI ST 3 529894,1.3409376,103.9526189,TAMPINES,EAST
CHIJ SECONDARY (TOA PAYOH),626  LORONG 1 TOA PAYOH,319764,626  LORONG 1 TOA PAYOH 319764,1.3324745,103.8432669,TOA PAYOH,SOUTH
CHRIST CHURCH SECONDARY SCHOOL,20   WOODLANDS DRIVE 17,737924,20   WOODLANDS DRIVE 17 737924,1.426395,103.793419,WOODLANDS,NORTH
CHUA CHU KANG SECONDARY SCHOOL,3    TECK WHYE CRESCENT,688845,3    TECK WHYE CRESCENT 688845,1.3825531,103.7525502,CHOA CHU KANG,WEST
CLEMENTI TOWN SECONDARY SCHOOL,10   CLEMENTI AVE 3,129904,10   CLEMENTI AVE 3 129904,1.3154809,103.7618194,CLEMENTI,WEST
COMMONWEALTH SECONDARY SCHOOL,698  WEST COAST ROAD,608784,698  WEST COAST ROAD 608784,1.3192,103.745652,JURONG EAST,WEST
COMPASSVALE SECONDARY SCHOOL,51   COMPASSVALE CRESCENT,545083,51   COMPASSVALE CRESCENT 545083,1.396086,103.899711,SENG KANG,NORTH
CREST SECONDARY SCHOOL,561  JURONG EAST STREET 24,609561,561  JURONG EAST STREET 24 609561,1.34309,103.7431263,JURONG EAST,WEST
DAMAI SECONDARY SCHOOL,4800 BEDOK RESERVOIR ROAD,479229,4800 BEDOK RESERVOIR ROAD 479229,1.3364646,103.9270415,BEDOK,EAST
DEYI SECONDARY SCHOOL,1    ANG MO KIO STREET 42,569277,1    ANG MO KIO STREET 42 569277,1.365893,103.852329,ANG MO KIO,SOUTH
DUNEARN SECONDARY SCHOOL,21   BUKIT BATOK WEST AVENUE 2,659204,21   BUKIT BATOK WEST AVENUE 2 659204,1.363584,103.7450276,BUKIT BATOK,WEST
DUNMAN SECONDARY SCHOOL,21   TAMPINES STREET 45,529093,21   TAMPINES STREET 45 529093,1.360673,103.956206,TAMPINES,EAST
EAST SPRING SECONDARY SCHOOL,30   TAMPINES STREET 34,529231,30   TAMPINES STREET 34 529231,1.3560515,103.9605866,TAMPINES,EAST
EDGEFIELD SECONDARY SCHOOL,36   PUNGGOL FIELD,828814,36   PUNGGOL FIELD 828814,1.399882,103.902302,PUNGGOL,NORTH
EVERGREEN SECONDARY SCHOOL,11   WOODLANDS STREET 83,738489,11   WOODLANDS STREET 83 738489,1.441283,103.794011,WOODLANDS,NORTH
FAIRFIELD METHODIST SCHOOL (SECONDARY),102  DOVER ROAD,139649,102  DOVER ROAD 139649,1.3017793,103.784589,QUEENSTOWN,SOUTH
FAJAR SECONDARY SCHOOL,31   GANGSA ROAD,678972,31   GANGSA ROAD 678972,1.3753749,103.7644367,BUKIT PANJANG,WEST
FUCHUN SECONDARY SCHOOL,21   WOODLANDS AVENUE 1,739062,21   WOODLANDS AVENUE 1 739062,1.430948,103.777326,WOODLANDS,NORTH
FUHUA SECONDARY SCHOOL,5    JURONG WEST STREET 41,649410,5    JURONG WEST STREET 41 649410,1.346902,103.726756,JURONG WEST,WEST
GEYLANG METHODIST SCHOOL (SECONDARY),2    GEYLANG EAST CENTRAL,389705,2    GEYLANG EAST CENTRAL 389705,1.318124,103.8829,GEYLANG,EAST
GREENDALE SECONDARY SCHOOL,51   EDGEDALE PLAINS,828866,51   EDGEDALE PLAINS 828866,1.396986,103.9117179,PUNGGOL,NORTH
GREENRIDGE SECONDARY SCHOOL,32   BUKIT PANJANG RING ROAD,679938,32   BUKIT PANJANG RING ROAD 679938,1.3820599,103.7738085,BUKIT PANJANG,WEST
GUANGYANG SECONDARY SCHOOL,8    BISHAN STREET 12,579807,8    BISHAN STREET 12 579807,1.344693,103.850566,BISHAN,SOUTH
HILLGROVE SECONDARY SCHOOL,10   BUKIT BATOK STREET 52,659250,10   BUKIT BATOK STREET 52 659250,1.35277,103.752785,BUKIT BATOK,WEST
HOUGANG SECONDARY SCHOOL,2    HOUGANG STREET 93,534256,2    HOUGANG STREET 93 534256,1.377661,103.88253,HOUGANG,NORTH
HUA YI SECONDARY SCHOOL,60   JURONG WEST ST 42,649371,60   JURONG WEST ST 42 649371,1.351473,103.72158,JURONG WEST,WEST
JUNYUAN SECONDARY SCHOOL,11   TAMPINES STREET 84,528933,11   TAMPINES STREET 84 528933,1.3533278,103.9335232,TAMPINES,EAST
JURONG SECONDARY SCHOOL,31   YUAN CHING ROAD,618652,31   YUAN CHING ROAD 618652,1.3304452,103.7242105,JURONG WEST,WEST
JURONG WEST SECONDARY SCHOOL,61   JURONG WEST STREET 65,648348,61   JURONG WEST STREET 65 648348,1.3352829,103.7020861,JURONG WEST,WEST
JURONGVILLE SECONDARY SCHOOL,202  JURONG EAST AVENUE 1,609790,202  JURONG EAST AVENUE 1 609790,1.351493,103.729161,JURONG EAST,WEST
JUYING SECONDARY SCHOOL,33   JURONG WEST STREET 91,649038,33   JURONG WEST STREET 91 649038,1.3382721,103.6872907,JURONG WEST,WEST
KENT RIDGE SECONDARY SCHOOL,147  WEST COAST ROAD,127368,147  WEST COAST ROAD 127368,1.3013766,103.7649426,CLEMENTI,SOUTH
KRANJI SECONDARY SCHOOL,61   CHOA CHU KANG STREET 51,689333,61   CHOA CHU KANG STREET 51 689333,1.3906192,103.7415227,CHOA CHU KANG,WEST
